Straße,Baumnummer,Gattung/Art,Hochwert,Rechtswert
EX Dicker-Willis-Koppel,130,"Populus tremula, Espe","6074829,98525275","3526919,73068885"
EX Dicker-Willis-Koppel,150,"Acer pseudoplatanus, Berg-Ahorn","6074826,01201349","3526920,89617237"
EX Dicker-Willis-Koppel,270,"Acer pseudoplatanus, Berg-Ahorn","6074803,22151308","3526947,37118999"
EX Dicker-Willis-Koppel,740,"Ulmus glabra, Berg-Ulme","6074762,33820548","3526851,03043886"
EX Dicker-Willis-Koppel,1110,"Ulmus glabra, Berg-Ulme","6074732,1223831","3526879,42916649"
EX Dicker-Willis-Koppel,1720,"Malus domestica, Hausapfel","6074723,98976226","3527012,70837368"
EX Dicker-Willis-Koppel,1900,"Fraxinus excelsior, Gemeine Esche","6074711,7052259","3527002,00763916"
EX Eckener Straße,B 10,Baumgruppe/flächiger Bestand,"6074394,40691905","3526925,03603681"
EX Fördestr. / Solitüde,B 10,Baumgruppe/flächiger Bestand,"6076589,91089257","3531355,83885196"
EX Jahrtausendallee,40,"Aesculus hippocastanum, Roßkastanie","6072222,92854313","3530078,00650054"
EX Jahrtausendallee,200,"Aesculus hippocastanum, Roßkastanie","6072094,72835974","3530118,41190307"
EX Jahrtausendallee,460,"Aesculus x carnea, Rotblühende Roßkastanie","6071870,15751786","3530237,04536755"
EX Jahrtausendallee,730,"Aesculus hippocastanum, Roßkastanie","6071861,44470739","3530268,73663242"
EX Jahrtausendallee,740,"Aesculus hippocastanum, Roßkastanie","6071868,00638718","3530265,45579253"
EX Jahrtausendallee,770,"Aesculus hippocastanum, Roßkastanie","6071887,69142655","3530255,08410512"
EX Jahrtausendallee,800,"Aesculus hippocastanum, Roßkastanie","6071917,53648624","3530256,24827411"
EX Jahrtausendallee,820,"Aesculus hippocastanum, Roßkastanie","6071927,27317238","3530241,11407718"
EX Jahrtausendallee,870,"Aesculus hippocastanum, Roßkastanie","6071954,89572762","3530221,6407049"
EX Jahrtausendallee,960,"Aesculus hippocastanum, Roßkastanie","6072015,08576767","3530189,05431153"
EX Jahrtausendallee,1130,"Aesculus hippocastanum, Roßkastanie","6072128,27474405","3530133,33295009"
EX Jahrtausendallee,1150,"Aesculus hippocastanum, Roßkastanie","6072141,4510204","3530127,45918834"
EX Lautrupsbachtal,500,"Picea abies, Gemeine Fichte","6073776,3391109","3529185,01716692"
EX Lecker Chaussee - Schäferhaus,B 20,Baumgruppe/flächiger Bestand,"6072055,39270028","3523513,09185947"
EX Lise-Meitner-Straße Grünzug,B 10,Baumgruppe/flächiger Bestand,"6070372,98519476","3528601,54262231"
EX Nordstraße,B 20,Baumgruppe/flächiger Bestand,"6073768,63634591","3528708,57891305"
EX Nordstraße,B 50,Baumgruppe/flächiger Bestand,"6073784,11450186","3529206,65803421"
EX Nordstraße,B 80,Baumgruppe/flächiger Bestand,"6073791,25826615","3529518,99928389"
EX Sünderuper Weg Ausgleichsfläche,90,"Acer pseudoplatanus, Berg-Ahorn","6072466,53490132","3529573,98062167"
Tulpenweg Grünfläche,80,"Salix species, Weide","6073362,47661508","3529909,59622495"
WW Bahndamm / Adelbybek,100,"Prunus avium, Vogel-Kirsche","6072292,61669927","3530348,08760649"
Auf der Dorfkoppel,90,"Betula pendula, Sand-Birke","6072024,07228899","3530014,41571107"
Carlisle-Park,110,"Tilia cf. cordata, Winter-Linde","6071956,83575896","3528206,10531312"
Carlisle-Park,130,"Tilia cf. cordata, Winter-Linde","6071967,80464002","3528210,21864352"
Collundtspark,50,"Tilia platyphyllos, Sommer-Linde","6073995,38567552","3527734,83959453"
Fördestraße-Klosterholzweg Grünfläche,B 10,Baumgruppe/flächiger Bestand,"6075886,10154588","3530141,3601273"
Gletscherbogen Stadtteilpark,B 270,Baumgruppe/flächiger Bestand,"6070380,58354253","3524955,72158104"
Husumer Straße Robbe & Berking,B 10,Baumgruppe/flächiger Bestand,"6071331,22841482","3527273,06923174"
Husumer Straße Robbe & Berking,B 30,Baumgruppe/flächiger Bestand,"6071052,62160761","3527158,76900314"
Husumer Straße Robbe & Berking,B 60,Baumgruppe/flächiger Bestand,"6070901,80880598","3527113,52516265"
Kluesrieser Weg Grünfläche,B 10,Baumgruppe/flächiger Bestand,"6076491,69758683","3526656,57172135"
Marrensberg,30,"Tilia x vulgaris, Holländische Linde","6076110,343","3530740,523"
Marrensberg,50,"Tilia x vulgaris, Holländische Linde","6076087,65010775","3530741,52153216"
Museumshang,350,"Ulmus glabra, Berg-Ulme","6073154,57170861","3527832,19781422"
Museumshang,700,"Ulmus glabra, Berg-Ulme","6073136,79244297","3527841,53536101"
Museumshang,1000,"Fraxinus excelsior, Gemeine Esche","6073124,44255022","3527850,38833705"
Naturnaher Grünzug Gartenstadt Weiche,430,"Salix alba, Silber-Weide","6070541,18215603","3524813,15634643"
Ochsenweg / An der Friedenskirche,40,"Sorbus aucuparia, Gemeine Eberesche","6069485,2232681","3526091,95104479"
Ochsenweg / An der Friedenskirche,60,"Sorbus aucuparia, Gemeine Eberesche","6069470,30580159","3526084,68963252"
Pumpstation,50,"Prunus cerasifera, Kirsch-Pflaume","6073860,852","3528337,486"
Stadtteilpark Engelsby,B 255,Baumgruppe/flächiger Bestand,"6073608,75112616","3530596,16341258"
Struvelücke Grünfläche,80,"Quercus rubra, Amerikanische Roteiche","6072506,22906492","3531180,71869027"
Struvelücke Grünfläche,B 120,Baumgruppe/flächiger Bestand,"6072564,34786766","3531254,52825578"
Sünderuper Weg / Kantstraße,B 90,Baumgruppe/flächiger Bestand,"6072132,53240331","3529675,89177875"
Trögelsbyhof SBG,4490,"Fraxinus excelsior, Gemeine Esche","6073435,26010595","3531212,85573988"
Trögelsbyhof SBG,4500,"Fraxinus excelsior, Gemeine Esche","6073434,83677177","3531206,39989364"
Twedter Plack (O),160,"Sorbus intermedia, Schwedische Mehlbeere","6076385,66082917","3530420,75779553"
Waitzstr./Mühlendamm,200,"Sorbus aucuparia, Gemeine Eberesche","6072097,73371096","3528402,27227068"
Waitzstr./Mühlendamm,260,"Betula pendula, Sand-Birke","6072103,6996744","3528419,78906447"
Wolfgang-Prinz-Park,470,"Acer platanoides, Spitz-Ahorn","6075655,25971861","3527755,51357729"
Wolfgang-Prinz-Park,850,"Acer platanoides, Spitz-Ahorn","6075716,35948476","3527754,81078474"
Wolfgang-Prinz-Park,2230,"Betula pendula, Sand-Birke","6076020,07874481","3527624,75694712"
ZOB,100,"Sorbus x thuringiaca, Thüringische Mehlbeere","6072902,86","3528251,6"
ZOB,110,"Sorbus x thuringiaca, Thüringische Mehlbeere","6072910,25","3528248,43"
ZOB,120,"Sorbus x thuringiaca, Thüringische Mehlbeere","6072916,52","3528247,24"
Kita Fruerlund,30,"Ulmus  species, Ulme","6074933,55316735","3529519,70966761"
Kita Kneipp Kindergarten Apenrader Str.,30,"Populus x canadensis, Kanadische-Hybrid-Pappel","6075569,86673649","3527290,79014283"
Kita Kneipp Kindergarten Apenrader Str.,40,"Populus x canadensis, Kanadische-Hybrid-Pappel","6075570,18423712","3527303,64891855"
Kita Kneipp Kindergarten Apenrader Str.,50,"Populus x canadensis, Kanadische-Hybrid-Pappel","6075566,21547919","3527289,83764092"
Kita Kneipp Kindergarten Apenrader Str.,60,"Populus x canadensis, Kanadische-Hybrid-Pappel","6075564,38985054","3527283,09075243"
Kita Neustadt,80,"Acer pseudoplatanus 'Atropurpureum', Sorte vom Berg-Ahorn","6074121,89036886","3527308,91503322"
Jugendheim Exe,B 105,Baumgruppe/flächiger Bestand,"6072087,14830646","3527420,40345589"
Rathaus Hang,B 55,Baumgruppe/flächiger Bestand,"6072541,69393844","3528037,43992457"
Technisches Rathaus I Am Pferdewasser,B 165,Baumgruppe/flächiger Bestand,"6072435,58641444","3527830,72366528"
Auguste-Viktoria-Schule (AVS),2,"Carpinus betulus, Gemeine Hainbuche","6072684,75698565","3527799,18216247"
Auguste-Viktoria-Schule (AVS),6,"Acer campestre, Feld-Ahorn","6072682,13760541","3527789,81589374"
BaS Bildungszentrum am Sandberg,B 855,Baumgruppe/flächiger Bestand,"6072126,70683686","3528643,90327045"
Falkenbergschule,300,"Fraxinus excelsior, Gemeine Esche","6072608,66470977","3526496,44343305"
Falkenbergschule,1250,"Acer saccharinum, Silber-Ahorn","6072631,13781426","3526416,35286139"
Falkenbergschule,B 1870,"Catalpa bignonioides cf. 'Nana', Sorte des Gwöhnlichen Trompetenbaumes","6072577,93125756","3526520,64260225"
FNS Fridtjof-Nansen-Schule,750,"Pinus mugo, Berg-Kiefer","6075175,82414718","3529710,87010524"
FNS Fridtjof-Nansen-Schule,B 946,Baumgruppe/flächiger Bestand,"6075163,6830229","3529778,37029578"
FNS Fridtjof-Nansen-Schule,1020,"Fraxinus excelsior, Gemeine Esche","6075119,69819291","3529725,05069784"
FNS Fridtjof-Nansen-Schule,1464,"Alnus glutinosa, Schwarz-Erle","6075041,11638876","3529796,73707205"
Fördegymnasium,852,"Alnus glutinosa, Schwarz-Erle","6074974,61323492","3529919,74210973"
Fördegymnasium,853,"Alnus glutinosa, Schwarz-Erle","6074974,77198524","3529910,58750809"
Fördegymnasium,B 960,Baumgruppe/flächiger Bestand,"6074937,2193236","3530081,49704223"
Fördegymnasium,B 970,Baumgruppe/flächiger Bestand,"6074888,32422581","3530080,70329064"
Friholtschule,B 425,Baumgruppe/flächiger Bestand,"6074685,90344104","3530019,58625483"
GSW Gemeinschaftsschule Fl-West,B 565,Baumgruppe/flächiger Bestand,"6071981,45211095","3527261,47013964"
GSW Gemeinschaftsschule Fl-West,675,"Corylus colurna, Baum-Hasel","6071907,61292855","3527166,65210278"
Hohlwegschule,580,"Sorbus aucuparia, Gemeine Eberesche","6072795,97026048","3528987,2967596"
Hohlwegschule,710,"Sorbus aucuparia, Gemeine Eberesche","6072789,42336018","3528939,42361698"
KLS Käte-Lassen-Schule,485,"Ulmus glabra, Berg-Ulme","6073457,82216963","3529033,65498633"
KTS Kurt-Tucholsky-Schule,B 854,Baumgruppe/flächiger Bestand,"6073341,30435109","3530265,10565472"
KTS Kurt-Tucholsky-Schule,1080,"Populus x berolinensis, Berliner Lorbeer-Pappel","6073165,87993431","3530191,74899593"
Petrischule RBZ,B 295,Baumgruppe/flächiger Bestand,"6075688,98412444","3527217,7228477"
RBZ HAS Hannah-Arendt-Schule,B 552,Baumgruppe/flächiger Bestand,"6071820,79089565","3526858,47352837"
RBZ HLA Marienallee,B 395,Baumgruppe/flächiger Bestand,"6072623,88629367","3527185,39351085"
RBZ HLA Marienallee,B 445,Baumgruppe/flächiger Bestand,"6072658,2116401","3527177,19141111"
Schule auf der Rude,250,"Juniperus communis, Gemeiner Wacholder","6071537,56669455","3527660,80387772"
Schule Friedheim,1450,"Crataegus monogyna, Eingriffliger Weißdorn","6075821,44355267","3530799,99268945"
Schule Fruerlund,750,"Acer campestre, Feld-Ahorn","6073791,97428157","3529570,92846643"
VHS Nikolaikirchof 2,80,"Picea  species, Fichte","6072727,35575926","3528052,47905105"
Alter Kupfermühlenweg 26 Süd,B 10,Baumgruppe/flächiger Bestand,"6074951,63062843","3527103,54528863"
Am Katharinenhof KI,B 10,Baumgruppe/flächiger Bestand,"6074775,56035084","3526591,6978438"
Am Katharinenhof KI,B 50,Baumgruppe/flächiger Bestand,"6074666,76346658","3526360,9807157"
Am Katharinenhof Sportplatz,B 10,Baumgruppe/flächiger Bestand,"6074799,26706493","3526438,87420482"
Am Katharinenhof Sportplatz,B 30,Baumgruppe/flächiger Bestand,"6074852,18383743","3526494,11931531"
Campusallee / Munketoft neben Parkplatz,B 10,Baumgruppe/flächiger Bestand,"6071476,83604528","3529031,76600958"
Campusallee / Munketoft neben Parkplatz,B 20,Baumgruppe/flächiger Bestand,"6071444,6626476","3528994,51260174"
Campusallee / Munketoft neben Parkplatz,B 30,Baumgruppe/flächiger Bestand,"6071454,61100083","3528944,13583432"
Engelsbyer Weg KI,B 290,Baumgruppe/flächiger Bestand,"6074871,59060109","3530146,83723141"
Ewoldtweg neben Segelclub,B 10,Baumgruppe/flächiger Bestand,"6077031,76909354","3530499,13481534"
Finkenstraße,B 10,Baumgruppe/flächiger Bestand,"6074634,29971052","3526843,55262299"
Glücksburger Str. 15,B 10,Baumgruppe/flächiger Bestand,"6072856,39264969","3528707,89517406"
Husumer Straße neben 68-72,B 10,Baumgruppe/flächiger Bestand,"6071433,09173611","3527307,09768353"
JAW Eckener Straße 28,B 10,Baumgruppe/flächiger Bestand,"6074210,8412914","3527072,60432408"
JAW Eckener Straße 28,B 30,Baumgruppe/flächiger Bestand,"6074270,95474496","3527039,58425804"
JAW Eckener Straße 28,100,"Acer platanoides, Spitz-Ahorn","6074223,5413168","3527111,59340206"
JAW Eckener Straße 28,115,"Pinus mugo, Berg-Kiefer","6074244,49635871","3527115,82674386"
Johannisallee nördlich Kleingärten,B 10,Baumgruppe/flächiger Bestand,"6071659,62360264","3528858,68889502"
Johannisallee nördlich Kleingärten,B 20,Baumgruppe/flächiger Bestand,"6071611,33704773","3528849,09773"
Johannisallee nördlich Kleingärten,B 30,Baumgruppe/flächiger Bestand,"6071643,61472721","3528829,52919195"
Lecker Chaussee / Ochsenweg,B 10,Baumgruppe/flächiger Bestand,"6071934,78704484","3524753,83711124"
Lise-Meitner-Str. / Osttangente,B 60,Baumgruppe/flächiger Bestand,"6070353,36021291","3528950,58098685"
Lise-Meitner-Str. / Osttangente,B 70,Baumgruppe/flächiger Bestand,"6070318,69972693","3528946,34764505"
Lornsendamm / Schwalbenstraße,B 20,Baumgruppe/flächiger Bestand,"6074392,12044479","3526547,67254644"
Lornsendamm / Schwalbenstraße,B 30,Baumgruppe/flächiger Bestand,"6074359,84121357","3526589,47679672"
Lornsendamm / Schwalbenstraße,B 50,Baumgruppe/flächiger Bestand,"6074300,7067203","3526551,77359631"
Meierwik Alter Weg 15,B 10,Baumgruppe/flächiger Bestand,"6077343,41732999","3532454,45087531"
Meierwik Alter Weg 15,B 30,Baumgruppe/flächiger Bestand,"6077430,33312882","3532460,00713643"
Munketoft südlich Nr. 150,B 10,Baumgruppe/flächiger Bestand,"6071672,18978436","3528789,57702871"
Nikolaiallee - Eckener Schule,B 10,Baumgruppe/flächiger Bestand,"6071836,87408365","3527083,16478286"
Nikolaiallee - Eckener Schule,B 320,Baumgruppe/flächiger Bestand,"6071766,65786215","3526873,64938221"
Osbek hinter Nr.67-73,B 10,Baumgruppe/flächiger Bestand,"6075424,54246509","3530325,86599795"
Osbek hinter Nr.70,B 40,Baumgruppe/flächiger Bestand,"6075528,48404511","3530186,54730444"
Osbek hinter Nr.70,B 50,Baumgruppe/flächiger Bestand,"6075562,61536338","3530219,88487111"
Osbek hinter Nr.70,B 60,Baumgruppe/flächiger Bestand,"6075537,7444803","3530248,45992826"
Osbek hinter Nr.70,B 70,Baumgruppe/flächiger Bestand,"6075480,32978214","3530252,69327006"
Richard-Wagner-Str. / Trögelsbyer Weg,B 10,Baumgruppe/flächiger Bestand,"6073364,37935118","3530156,6717487"
Richard-Wagner-Str. / Trögelsbyer Weg,B 20,Baumgruppe/flächiger Bestand,"6073339,19096747","3530146,51172839"
Richard-Wagner-Str. / Trögelsbyer Weg,B 30,Baumgruppe/flächiger Bestand,"6073326,49094207","3530138,25671187"
Richard-Wagner-Str. / Trögelsbyer Weg,B 40,Baumgruppe/flächiger Bestand,"6073326,91427625","3530117,30166996"
Richard-Wagner-Str. / Trögelsbyer Weg,B 50,Baumgruppe/flächiger Bestand,"6073283,31085571","3530116,03166742"
Richard-Wagner-Str. / Trögelsbyer Weg,B 60,Baumgruppe/flächiger Bestand,"6073231,02908448","3530119,41834086"
Schottweg hinter Nr.14,B 10,Baumgruppe/flächiger Bestand,"6075027,16069452","3530528,04775797"
Sigurdstraße / BLS,B 10,Baumgruppe/flächiger Bestand,"6075532,66871091","3526295,78338304"
Solitüde / Fördestraße,B 10,Baumgruppe/flächiger Bestand,"6076648,23311338","3531449,637359"
Solitüde / Fördestraße,B 40,Baumgruppe/flächiger Bestand,"6076727,18493795","3531624,89770952"
Solitüde / Fördestraße,B 60,Baumgruppe/flächiger Bestand,"6076663,47314386","3531600,34432708"
Taubenstraße,B 20,Baumgruppe/flächiger Bestand,"6074622,66663004","3526661,97666181"
Taubenstraße,B 60,Baumgruppe/flächiger Bestand,"6074581,1798804","3526740,5051522"
Taubenstraße,B 70,Baumgruppe/flächiger Bestand,"6074633,88498581","3526714,68176722"
Thomas-Lorck-Weg Nord und Süd,B 10,Baumgruppe/flächiger Bestand,"6071884,38828484","3525940,27929292"
Thomas-Lorck-Weg Nord und Süd,B 30,Baumgruppe/flächiger Bestand,"6071824,53941514","3525982,03062642"
Trögelsbyhof 1-3,B 10,Baumgruppe/flächiger Bestand,"6073455,7422523","3531194,03445267"
Trögelsbyhof 1-3,B 20,Baumgruppe/flächiger Bestand,"6073464,63227008","3531156,09312679"
Trögelsbyhof 1-3,B 30,Baumgruppe/flächiger Bestand,"6073499,55733993","3531141,32934726"
Zur Exe - Eckener Schule,B 20,Baumgruppe/flächiger Bestand,"6071992,20387693","3526793,01533957"
Zur Exe - Eckener Schule,B 30,Baumgruppe/flächiger Bestand,"6072010,46016344","3526774,28280211"
Zur Exe 1,B 10,Baumgruppe/flächiger Bestand,"6072343,80211254","3527794,26173564"
Zur Exe 1,B 20,Baumgruppe/flächiger Bestand,"6072378,85947433","3527919,27761067"
Zur Exe 1,B 30,Baumgruppe/flächiger Bestand,"6072351,40889859","3527879,92076113"
Zur Exe 1,B 50,Baumgruppe/flächiger Bestand,"6072342,80992306","3527835,27223433"
KSP Fruerlundhof,192,"Crataegus monogyna, Eingriffliger Weißdorn","6074081,41130464","3529740,68417671"
KSP Gruuskuhle,24,"Populus tremula, Espe","6072718,72354193","3530743,60568846"
KSP Gruuskuhle,25,"Populus tremula, Espe","6072720,54917058","3530746,93944512"
KSP Hermann-Löns-Weg,125,"Ulmus  species, Ulme","6073605,50147617","3526944,45085743"
KSP Hermann-Löns-Weg,130,"Crataegus oxyacantha aggr., Zweigriffliger Weißdorn","6073616,1788137","3526945,06806176"
KSP Hermann-Löns-Weg,230,"Crataegus oxyacantha aggr., Zweigriffliger Weißdorn","6073599,56559681","3526920,48651461"
KSP Marienallee,130,"Tilia intermedia, Holländische Linde","6072649,47895565","3527070,18660301"
KSP Marienallee,B 160,Baumgruppe/flächiger Bestand,"6072596,60021708","3527122,17981246"
KSP Marienallee,260,"Aesculus hippocastanum, Roßkastanie","6072621,90104894","3527071,83115708"
KSP Marienallee,B 270,Baumgruppe/flächiger Bestand,"6072651,04767958","3527042,65430858"
KSP Stadion,80,"Fagus sylvatica, Rotbuche","6074900,03912489","3528721,47259126"
KSP Zur Bleiche,30,"Acer monspessulanum, Französischer Ahorn","6071319,18619972","3527787,6111404"
Bahnhofstraße und Am Mühlenteich (Carlisle-Park),10,"Tilia x euchlora, Krim-Linde","6071881,54","3528176,587"
Batteriestraße,10,"Sorbus intermedia, Schwedische Mehlbeere","6074935,94","3527374,24"
Batteriestraße,230,"Sorbus intermedia, Schwedische Mehlbeere","6075030,49","3527583,63"
Bauer Landstraße,370,"Sorbus intermedia, Schwedische Mehlbeere","6074990,699","3526838,432"
Bauer Landstraße,750,"Populus x berolinensis, Berliner Lorbeer-Pappel","6075204,531","3526567,19"
Eckernförder Landstraße,630,"Ulmus  species, Ulme","6071173,50611142","3528452,4445544"
Engelsbyer Straße,70,"Tilia cordata, Winter-Linde","6073749,567","3530073,741"
Exe,230,"Betula pendula, Sand-Birke","6072226,29453547","3527518,79988613"
Friedrich-Ebert-Straße,100,"Sorbus aucuparia, Gemeine Eberesche","6072594,936","3528317,459"
Friesische Straße,110,"Robinia pseudoacacia, Gemeine Robinie","6072536,7","3527589,92"
Fruerlundlücke,70,"Prunus avium 'Plena', Gefülltblühende Vogelkirsche","6074134,01016663","3529294,00283723"
Fuchskuhle,350,"Sorbus intermedia, Schwedische Mehlbeere","6070660,61","3527673,321"
Fuchskuhle,500,"Sorbus intermedia, Schwedische Mehlbeere","6070626,349","3527974,025"
Glücksburger Straße,20,"Aesculus hippocastanum, Roßkastanie","6072972,658","3528883,622"
Hafenpromenade,326,"Ulmus  species, Ulme","6073617,51362019","3528232,97730964"
Hafenpromenade,327,"Ulmus  species, Ulme","6073619,10112336","3528236,25153494"
Hafenpromenade,328,"Ulmus  species, Ulme","6073626,24874617","3528238,97123656"
Jürgensgaarder Straße,220,"Sorbus x thuringiaca, Thüringische Mehlbeere","6073124,632","3528740,643"
Kreuzkoppel,270,"Sorbus x thuringiaca, Thüringische Mehlbeere","6072445,979","3530717,071"
Lornsendamm,10,"Fraxinus excelsior, Gemeine Esche","6074309,72","3526542,74"
Lornsendamm Bachlauf,369,"Ulmus glabra, Berg-Ulme","6074364,17521608","3526502,50587516"
Mads-Clausen-Straße,B 60,Baumgruppe/flächiger Bestand,"6076518,21611927","3527191,57163174"
Marienallee,50,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","6072755,506","3527072,842"
Marienhölzungsweg,1840,"Picea abies, Gemeine Fichte","6073637,96","3526608,08"
Mühlendamm,100,"Fraxinus excelsior, Gemeine Esche","6071893,0143513","3528276,70911669"
Munketoft / Brauerei,230,"Tilia cordata, Winter-Linde","6072239,978","3528187,246"
Nikolaiallee (S),3230,"Tilia x vulgaris, Holländische Linde","6070667,535","3525842,987"
Nordstraße Ost,B 410,Baumgruppe/flächiger Bestand,"6074621,76109308","3530930,22409242"
Nordstraße Ost,B 630,Baumgruppe/flächiger Bestand,"6074648,73973909","3530933,14980278"
Osterallee,30,"Tilia x vulgaris, Holländische Linde","6075686,714","3529823,951"
Osterallee,340,"Tilia x vulgaris 'Pallida', Kaiserlinde","6075400,617","3530186,908"
Osterallee,B 465,Baumgruppe/flächiger Bestand,"6075288,24163597","3530288,60324416"
Osterallee,B 505,Baumgruppe/flächiger Bestand,"6075236,66431928","3530353,14517012"
Osterallee,1060,"Tilia x vulgaris, Holländische Linde","6075154,099","3531253,077"
Parkplatz Friesische Lücke,212,"Ulmus  species, Ulme","6072087,7010195","3527319,41061175"
Parkplatz Friesische Lücke,1040,"Tilia cordata, Winter-Linde","6072086,72388453","3527231,65169095"
Parkplatz Nordstraße / Versatel,B 110,Baumgruppe/flächiger Bestand,"6073722,38556983","3528432,2674698"
Roonstraße,20,"Crataegus laevigata 'Paul's Scarlet', Rotdorn","6073409,867","3527481,834"
Roonstraße,60,"Crataegus laevigata 'Paul's Scarlet', Rotdorn","6073387,795","3527474,399"
Roonstraße,70,"Crataegus laevigata 'Paul's Scarlet', Rotdorn","6073382,448","3527472,069"
Roonstraße,230,"Crataegus laevigata 'Paul's Scarlet', Rotdorn","6073386,224","3527481,909"
Roonstraße,260,"Crataegus laevigata 'Paul's Scarlet', Rotdorn","6073368,414","3527470,673"
Saturnbogen,310,"Quercus robur 'Fastigiata', Pyramiden-Eiche","6073345,545","3531014,665"
Saturnbogen,710,"Acer campestre 'Elsrijk', Sorte des Feldahorn","6073543,466","3530872,674"
Schulze-Delitzsch-Straße,50,"Tilia x vulgaris, Holländische Linde","6072477,537","3528967,765"
Struvekoppel,20,"Prunus serrulata, Japanische Blüten-Kirsche","6072625,331","3531558,584"
Taruper Hauptstraße,90,"Quercus robur, Stiel-Eiche","6072381,38","3531293,44"
Tunneldecke Mürwiker Str. / Ziegeleistr.,120,"Fraxinus excelsior, Gemeine Esche","6075308,93","3529422,84"
Unterer Lautrupsweg,30,"Sorbus aucuparia 'Edulis', Eßbare Eberesche","6073825,11","3528359,94"
Verbindungsweg Solitüder Str./Osterkoppel,60,"Populus tremula, Espe","6076731,96279249","3531148,10372856"
Verbindungsweg Solitüder Str./Osterkoppel,210,"Populus tremula, Espe","6076678,58919941","3531145,43101813"
Westerallee,1420,"Salix alba, Silber-Weide","6072429,709","3525454,734"
Zur Bleiche,260,"Sorbus x thuringiaca, Thüringische Mehlbeere","6071382,658","3527919,336"
Zur Bleiche,300,"Sorbus x thuringiaca, Thüringische Mehlbeere","6071377,829","3527944,797"